@RELATION avaluos 
@ATTRIBUTE codigo_postal_ubicacion_inmueble NUMERIC 
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE GRADO_TERMINACION_OBRA NUMERIC 
@ATTRIBUTE AVANCE_OBRA_PRIVATIVAS NUMERIC 
@ATTRIBUTE EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE VIDA_UTIL_TOTAL_TIPO_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE VIDA_UTIL_REMANENTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_ESTADO_CONSERVACION NUMERIC 
@ATTRIBUTE CVE_CALIDAD_PROYECTO NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE NIVELES_ZONA NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_PRIMARIAS NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_SECUNDARIAS NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_PREPARATORIA NUMERIC 
@ATTRIBUTE DISTANCIA_BANCOS NUMERIC 
@ATTRIBUTE DISTANCIA_LOCALES_COMERCIALES NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE DISTANCIA_SERVICIOS_SALUD_PRIMER_NIVEL_ NUMERIC 
@ATTRIBUTE DISTANCIA_SERVICIOS_SALUD_SEGUNDO_NIVEL_ NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE SUPERFICIE_TOTAL_CONSTRUCCIONES_PRIVATIVAS NUMERIC 
@ATTRIBUTE SUPERFICIE_PRIVATIVAS NUMERIC 
@ATTRIBUTE SUPERFICIE_CONSTRUIDA NUMERIC 
@ATTRIBUTE SUPERFICIE_COMUNES NUMERIC 
@ATTRIBUTE SUPERFICIE_ACCESORIA NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FUB NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE FFO NUMERIC 
@ATTRIBUTE FSU NUMERIC 
@ATTRIBUTE FOT NUMERIC 
@ATTRIBUTE IMPORTE_ENFOQUE_INGRESOS NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
11560, -99.189174, 19.427625, 09, 016, 4.0, 4.0, 4.0, 6.0, 1.0, 100.0, 100.0, 60.0, 768.0, 0.92, 708.0, 0.92, 1.0, 4.0, 1.0, 6.0, 6.0, 1.0, 5.0, 2, 1, 21, 0.736053925634, 1.0, 0.780358116011, 0.736053925634, 0.780358116011, 0.780358116011, 1.0, 0.603690999289, 1.0, 0.736053925634, 0.736053925634, 0.736053925634, 0.736053925634, 0.854226124792, 0.780358116011, 0.705775078853, 3.0, 2.0, 297.34, 529.32, 297.34, 297.34, 0.0, 79.01, 1.20, 1.15, 1.00, 1.00, 0.96, 1.00, 15058370.83, 12826403.89, 23407000.0 
01330, -99.2690931, 19.3729881, 09, 010, 4.0, 3.0, 3.0, 6.0, 1.0, 100.0, 100.0, 0.0, 90.0, 1.0, 90.0, 1.0, 1.0, 6.0, 1.0, 6.0, 6.0, 1.0, 4.0, 1, 1, 20, 0.766629891993, 0.770714416291, 0.854226124792, 0.766629891993, 0.795165120387, 0.832259672167, 0.766629891993, 0.770714416291, 0.832259672167, 0.795165120387, 1.0, 0.795165120387, 0.839280022543, 0.819565634135, 0.79759918151, 1.0, 2.0, 2.0, 87.61, 91.47, 87.61, 87.61, 1115.0, 3.86, 1.00, 1.00, 1.00, 1.00, 0.62, 0.00, 2176258.32, 1443989.06, 3164000.0 
05120, -99.2638708, 19.3847708, 09, 004, 4.0, 3.0, 1.0, 6.0, 1.0, 100.0, 100.0, 21.0, 70.0, 0.79, 49.0, 0.82, 0.98, 5.0, 1.0, 6.0, 6.0, 1.0, 4.0, 2, 5, 1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.748747963665, 1.0, 0.896190786752, 0.748747963665, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 3.0, 438.0, 0.0, 438.0, 438.0, 0.0, 0.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 9010062.28, 9867791.15, 12220000.0 
05120, -99.256648, 19.388805, 09, 004, 4.0, 3.0, 4.0, 6.0, 1.0, 100.0, 100.0, 60.0, 708.0, 0.92, 648.0, 0.92, 1.0, 4.0, 1.0, 6.0, 6.0, 1.0, 4.0, 3, 5, 12, 1.0, 1.0, 1.0, 1.0, 0.79759918151, 1.0, 1.0, 0.705775078853, 1.0, 0.760231117859, 0.760231117859, 0.760231117859, 0.780358116011, 0.79759918151, 0.888886615449, 0.760231117859, 4.0, 3.0, 391.09, 492.13, 391.09, 391.09, 0.0, 15.68, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 7635955.64, 7918414.85, 13301000.0 
05120, -99.2571447, 19.3963363, 09, 004, 4.0, 3.0, 4.0, 7.0, 1.0, 100.0, 100.0, 8.0, 70.0, 0.93, 62.0, 0.95, 0.98, 5.0, 1.0, 7.0, 6.0, 1.0, 3.0, 4, 5, 1, 1.0, 1.0, 1.0, 1.0, 1.0, 0.748747963665, 1.0, 0.748747963665, 1.0, 0.832259672167, 0.748747963665, 1.0, 1.0, 0.854226124792, 1.0, 1.0, 4.0, 4.0, 441.05, 0.0, 441.05, 441.05, 0.0, 63.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 13002523.57, 13521923.66, 14775000.0 
11560, -99.1843199, 19.4293959, 09, 016, 4.0, 3.0, 4.0, 7.0, 1.0, 100.0, 100.0, 19.0, 90.0, 1.0, 71.0, 1.0, 1.0, 4.0, 1.0, 7.0, 6.0, 1.0, 7.0, 1, 2, 32, 0.746559533469, 0.910790300724, 0.777545180589, 0.796307137731, 0.777545180589, 1.0, 0.846021255792, 0.662309424734, 0.656751620912, 0.842421256315, 0.870188676967, 0.409782817068, 0.783649177535, 0.771913251334, 0.680174325017, 0.810100294075, 3.0, 3.0, 509.45, 509.45, 509.45, 509.45, 7683.0, 0.0, 1.00, 1.25, 1.00, 1.00, 0.88, 0.00, 43070717.54, 16928789.46, 52550000.0 
05100, -99.277957, 19.379221, 09, 004, 4.0, 4.0, 4.0, 6.0, 1.0, 100.0, 100.0, 60.0, 1080.0, 0.95, 1020.0, 0.95, 1.0, 4.0, 1.0, 6.0, 6.0, 1.0, 4.0, 2, 2, 15, 0.68720270779, 0.903077342637, 0.748747963665, 0.68720270779, 0.748747963665, 1.0, 0.748747963665, 0.832259672167, 0.789286787355, 0.748747963665, 1.0, 0.68720270779, 0.832259672167, 0.770714416291, 1.0, 0.881110890011, 6.0, 3.0, 513.18, 662.23, 513.18, 513.18, 0.0, 106.5, 1.20, 1.35, 1.00, 1.00, 0.62, 1.00, 26126295.26, 19093666.08, 43125000.0 
05348, -99.2698583, 19.3594639, 09, 004, 4.0, 3.0, 4.0, 6.0, 1.0, 100.0, 100.0, 72.0, 1080.0, 0.94, 1008.0, 0.94, 1.0, 4.0, 1.0, 6.0, 6.0, 1.0, 6.0, 3, 5, 20, 0.748747963665, 0.805374906948, 0.881110890011, 0.748747963665, 0.881110890011, 1.0, 0.805374906948, 0.881110890011, 0.68720270779, 0.554839781444, 0.881110890011, 0.554839781444, 0.812679078251, 0.854226124792, 0.770714416291, 0.770714416291, 2.0, 2.0, 127.48, 127.48, 127.48, 127.48, 0.0, 0.0, 1.20, 1.15, 1.00, 1.00, 1.00, 1.00, 3787303.95, 2895791.65, 4801000.0 
01330, -99.2690931, 19.3729881, 09, 010, 4.0, 3.0, 3.0, 6.0, 1.0, 100.0, 100.0, 0.0, 90.0, 1.0, 90.0, 1.0, 1.0, 6.0, 1.0, 6.0, 6.0, 1.0, 4.0, 1, 1, 20, 0.766629891993, 0.770714416291, 0.854226124792, 0.766629891993, 0.795165120387, 0.832259672167, 0.766629891993, 0.770714416291, 0.832259672167, 0.795165120387, 1.0, 0.795165120387, 0.839280022543, 0.819565634135, 0.79759918151, 1.0, 2.0, 3.0, 146.01, 151.9, 146.01, 146.01, 1115.0, 5.89, 1.00, 1.00, 1.00, 1.00, 0.62, 0.00, 2590618.79, 2346761.63, 4442000.0 
05600, -99.265976, 19.347106, 09, 004, 4.0, 3.0, 4.0, 6.0, 1.0, 100.0, 100.0, 0.0, 1080.0, 1.0, 1080.0, 1.0, 1.0, 4.0, 1.0, 6.0, 6.0, 1.0, 4.0, 2, 5, 3, 0.881110890011, 0.881110890011, 0.881110890011, 0.881110890011, 0.554839781444, 1.0, 0.903077342637, 0.881110890011, 0.881110890011, 0.554839781444, 1.0, 0.554839781444, 0.903077342637, 0.881110890011, 1.0, 0.903077342637, 3.0, 3.0, 334.0, 424.65, 334.0, 334.0, 0.0, 0.0, 1.20, 1.00, 1.00, 1.00, 0.62, 1.00, 10420180.19, 10500528.95, 15551000.0 
