@RELATION avaluos 
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
-99.13337, 19.33149, 09, 003, 2, 4, 4.0, 4.0, 1.0, 0.82, 0.82, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 1.0, 0.805374906948, 0.748747963665, 0.854226124792, 0.881110890011, 1.0, 0.748747963665, 0.892594044204, 0.832259672167, 2.0, 3.0, 168.0, 1.00, 1.00, 3033396.68, 3478000.0 
-99.131031, 19.327128, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.85, 0.85, 1.0, 4.0, 4.0, 3.0, 3.0, 2, 5, 0.815481109837, 0.671343859299, 0.671343859299, 0.803247806317, 0.671343859299, 0.711817221466, 0.671343859299, 0.803247806317, 0.843523568924, 2.0, 4.0, 125.65, 1.00, 1.00, 2256549.88, 2624000.0 
-99.1114051, 19.3165251, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 3.0, 4.0, 3.0, 4.0, 3, 5, 0.872798495856, 0.867880183263, 0.638351489946, 0.665236255164, 0.578797716233, 0.819565634135, 0.578797716233, 0.806424538346, 0.435050350921, 1.0, 3.0, 170.0, 0.80, 0.80, 1136509.02, 1715000.0 
-99.135357, 19.320568, 09, 003, 2, 4, 4.0, 4.0, 1.0, 0.6, 0.6, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.881110890011, 0.832259672167, 2.0, 4.0, 203.4, 1.00, 1.00, 2588865.6, 3000000.0 
-99.119844, 19.309164, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.64, 0.64, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 0.832259672167, 0.748747963665, 0.748747963665, 0.832259672167, 0.748747963665, 0.748747963665, 0.748747963665, 0.832259672167, 0.832259672167, 2.0, 3.0, 169.94, 1.00, 1.00, 3321501.55, 3512000.0 
-99.1520194, 19.3183611, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.76, 0.76, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 0.872798495856, 0.770714416291, 0.748747963665, 0.554839781444, 0.68720270779, 0.881110890011, 0.68720270779, 0.881110890011, 0.721863198447, 2.0, 2.0, 146.52, 1.00, 1.00, 2077570.81, 2078000.0 
-99.1158194, 19.3038111, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.74, 0.8, 0.92, 4.0, 4.0, 3.0, 4.0, 2, 5, 1.0, 1.0, 1.0, 0.665236255164, 0.638351489946, 0.665236255164, 1.0, 1.0, 0.819565634135, 1.0, 4.0, 194.05, 1.00, 1.00, 4058498.20, 4405000.0 
-99.1249391, 19.3274058, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.81, 0.88, 0.92, 4.0, 4.0, 3.0, 4.0, 2, 1, 1.0, 1.0, 1.0, 0.854226124792, 0.881110890011, 0.832259672167, 1.0, 1.0, 0.805374906948, 2.0, 3.0, 311.66, 1.00, 1.00, 5388642.48, 5756000.0 
-99.146471, 19.339345, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 4.0, 1, 5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 125.82, 1.00, 1.00, 3251189.6, 3429000.0 
-99.130901, 19.316085, 09, 003, 2, 3, 4.0, 4.0, 1.0, 0.6, 0.6, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 0.832259672167, 0.638351489946, 0.638351489946, 0.748747963665, 0.638351489946, 0.832259672167, 0.638351489946, 0.748747963665, 0.748747963665, 2.0, 3.0, 202.65, 1.00, 1.00, 2434543.65, 3378000.0 
