@RELATION avaluos 
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
-99.0678667, 19.4804222, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.75, 0.75, 1.0, 4.0, 4.0, 3.0, 3.0, 2, 5, 0.881110890011, 0.770714416291, 0.770714416291, 0.903077342637, 0.770714416291, 0.872798495856, 0.770714416291, 0.872798495856, 0.603690999289, 1.0, 2.0, 65.9, 1.00, 1.00, 729972.5, 746000.0 
-99.0632471, 19.4707571, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.8, 0.8, 1.0, 3.0, 4.0, 3.0, 4.0, 3, 5, 1.0, 0.829332841737, 0.829332841737, 0.819565634135, 0.760231117859, 0.84374282636, 0.760231117859, 0.825698685926, 0.608416386416, 1.0, 3.0, 83.37, 1.00, 1.00, 1010591.81, 1212000.0 
-99.0857139, 19.4575639, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.71, 0.71, 1.0, 4.0, 4.0, 3.0, 4.0, 2, 5, 0.84374282636, 0.705775078853, 0.603690999289, 0.727741531479, 0.705775078853, 1.0, 0.68720270779, 0.903077342637, 0.791841270204, 2.0, 4.0, 192.7, 1.00, 1.00, 2196091.97, 2480000.0 
-99.1119761, 19.4709041, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.81, 0.81, 1.0, 4.0, 4.0, 3.0, 6.0, 1, 5, 1.0, 0.782925560178, 1.0, 1.0, 0.837793278418, 1.0, 0.601256938166, 0.709503368474, 0.553628897607, 1.0, 5.0, 250.0, 1.00, 1.00, 3074248.75, 3525000.0 
-99.1274888, 19.4903805, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.57, 0.62, 0.92, 4.0, 4.0, 3.0, 3.0, 2, 5, 1.0, 1.0, 1.0, 0.770714416291, 0.638351489946, 0.832259672167, 1.0, 1.0, 0.748747963665, 2.0, 4.0, 197.45, 1.00, 1.00, 4255872.28, 4403000.0 
-99.1272805, 19.4799861, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.57, 0.62, 0.92, 4.0, 4.0, 3.0, 4.0, 2, 5, 1.0, 1.0, 1.0, 0.721863198447, 0.721863198447, 0.770714416291, 1.0, 1.0, 0.770714416291, 2.0, 3.0, 166.81, 1.00, 1.00, 2415881.17, 2836000.0 
-99.064592, 19.457232, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.76, 0.76, 1.0, 4.0, 4.0, 3.0, 5.0, 1, 5, 1.0, 0.748747963665, 0.68720270779, 0.748747963665, 0.68720270779, 0.832259672167, 0.68720270779, 0.748747963665, 0.789286787355, 1.0, 2.0, 70.0, 1.00, 1.00, 1469880, 1470000.0 
-99.1263056, 19.4669194, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.61, 0.61, 1.0, 4.0, 4.0, 3.0, 6.0, 2, 5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 4.0, 161.55, 1.00, 1.00, 2765987.44, 2772000.0 
-99.059196, 19.46425, 09, 005, 2, 3, 3.0, 4.0, 1.0, 0.61, 0.61, 1.0, 4.0, 4.0, 3.0, 4.0, 1, 5, 1.0, 0.805374906948, 0.805374906948, 0.79759918151, 0.805374906948, 0.638351489946, 0.805374906948, 0.68720270779, 0.721863198447, 1.0, 4.0, 118.5, 1.00, 1.00, 1402363.96, 1590000.0 
-99.0607118, 19.4698438, 09, 005, 2, 3, 4.0, 4.0, 1.0, 0.63, 0.65, 0.98, 4.0, 4.0, 3.0, 4.0, 2, 1, 1.0, 0.854226124792, 0.611466724727, 0.780358116011, 0.705775078853, 1.0, 0.615174153482, 0.789286787355, 0.68720270779, 3.0, 4.0, 213.89, 1.00, 1.00, 2739354.24, 2799000.0 
