@RELATION avaluosdepartamentos_entidad_09_municipio_004_clase_todos
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE VALOR_COMPARATIVO_INMUEBLE_M2 NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
-99.267635, 19.361765, 09, 004, 4, 3, 4.0, 6.0, 1.0, 0.9, 0.9, 1.0, 6.0, 6.0, 1.0, 4.0, 3, 3, 1042.0, 702.0, 720.0, 2000.0, 250.0, 732.0, 50.0, 330.0, 1195.0, 1.0, 1.0, 67.43, 1.20, 1.00, 1875458.03, 37864.76, 2553000.0 
-99.2863, 19.3581306, 09, 004, 4, 3, 4.0, 4.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 2.0, 3.0, 3, 1, 2000, 2000, 2000, 575.0, 500.0, 800.0, 2000, 2000, 650.0, 1.0, 1.0, 45.0, 1.00, 1.00, 0, 31755.32, 1429000.0 
-99.28209, 19.358826, 09, 004, 4, 4, 4.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 6.0, 2.0, 5.0, 3, 5, 300.0, 1200.0, 1200.0, 2000, 900.0, 900.0, 1200.0, 600.0, 600.0, 4.0, 3.0, 319.0, 1.20, 1.00, 5064045.73, 41888.05, 9011000.0 
-99.2676667, 19.3833861, 09, 004, 4, 3, 4.0, 5.0, 1.0, 0.9, 1.0, 0.9, 5.0, 6.0, 1.0, 1.0, 1, 1, 2000, 2000, 2000, 2000, 1500.0, 50.0, 2000, 2000, 2000, 4.0, 3.0, 285.1, 1.20, 1.00, 0, 28436.97, 8107380.0 
-99.297339, 19.350661, 09, 004, 4, 3, 4.0, 4.0, 1.0, 0.89, 0.89, 1.0, 4.0, 6.0, 2.0, 2.0, 2, 5, 1900.0, 1900.0, 1900.0, 1500.0, 50.0, 1250.0, 50.0, 1000.0, 1200.0, 2.0, 3.0, 135.68, 1.20, 1.00, 2339118.08, 19522.66, 2649000.0 
-99.27147, 19.366643, 09, 004, 4, 4, 4.0, 6.0, 1.0, 1.0, 1.0, 1.0, 6.0, 6.0, 2.0, 3.0, 3, 5, 1700.0, 900.0, 900.0, 1800.0, 900.0, 500.0, 900.0, 530.0, 950.0, 1.0, 1.0, 37.7, 1.20, 1.00, 1297643.82, 41165.24, 1552000.0 
-99.2991061, 19.3497211, 09, 004, 4, 4, 3.0, 4.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 3.0, 3.0, 4, 5, 2000, 2000, 2000, 1500.0, 2500.0, 1500.0, 800.0, 2000.0, 250.0, 1.0, 1.0, 91.43, 1.20, 1.00, 1855054.13, 91.43, 1980000.0 
-99.2718677, 19.3668627, 09, 004, 4, 4, 4.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 5.0, 2.0, 6.0, 1, 5, 300.0, 300.0, 300.0, 700.0, 10.0, 1000.0, 10.0, 300.0, 300.0, 1.0, 1.0, 37.56, 1.20, 1.00, 1092944.13, 38940.17, 1461000.0 
-99.2849167, 19.3730278, 09, 004, 4, 3, 4.0, 4.0, 1.0, 0.76, 0.76, 1.0, 4.0, 4.0, 3.0, 4.0, 3, 1, 1875.0, 572.0, 83.0, 136.0, 452.0, 563.0, 426.0, 611.0, 255.0, 1.0, 2.0, 71.04, 1.00, 1.00, 937553.27, 16521.82, 1174000.0 
-99.265844, 19.362796, 09, 004, 4, 3, 4.0, 5.0, 1.0, 0.88, 0.88, 1.0, 5.0, 6.0, 1.0, 4.0, 3, 1, 300.0, 1500.0, 1500.0, 2000.0, 1500.0, 1500.0, 1500.0, 1500.0, 2000.0, 3.0, 3.0, 272.0, 1.20, 1.00, 5811292.79, 33233.27, 9039000.0 
-99.263762, 19.387397, 09, 004, 4, 3, 4.0, 5.0, 1.0, 0.61, 0.61, 1.0, 5.0, 5.0, 3.0, 5.0, 3, 5, 1632.0, 2000, 2000, 1500.0, 632.0, 697.0, 2000, 697.0, 1040.0, 1.0, 2.0, 191.16, 1.20, 1.00, 2200274.41, 25328.21, 4722000.0 
-99.28209, 19.358826, 09, 004, 4, 4, 4.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 6.0, 2.0, 5.0, 3, 5, 300.0, 1200.0, 1200.0, 2000, 900.0, 900.0, 1200.0, 600.0, 600.0, 4.0, 3.0, 319.0, 1.20, 1.00, 5064045.73, 41888.05, 9011000.0 
-99.2604944, 19.38995, 09, 004, 4, 3, 4.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 4.0, 13.0, 3.0, 1, 5, 800.0, 600.0, 600.0, 800.0, 800.0, 600.0, 600.0, 600.0, 800.0, 2.0, 3.0, 143.0, 1.00, 1.00, 3264882.90, 35600.00, 5091000.0 
-99.281801, 19.358723, 09, 004, 4, 3, 4.0, 6.0, 1.0, 1.0, 1.0, 1.0, 6.0, 6.0, 2.0, 4.0, 3, 4, 1600.0, 790.0, 790.0, 850.0, 1150.0, 1150.0, 1150.0, 570.0, 1780.0, 3.0, 3.0, 244.15, 1.20, 1.00, 6235542.8, 35964.8, 8789000.0 
