@RELATION avaluos 
@ATTRIBUTE codigo_postal_ubicacion_inmueble NUMERIC 
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE GRADO_TERMINACION_OBRA NUMERIC 
@ATTRIBUTE AVANCE_OBRA_PRIVATIVAS NUMERIC 
@ATTRIBUTE EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE VIDA_UTIL_TOTAL_TIPO_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE VIDA_UTIL_REMANENTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_ESTADO_CONSERVACION NUMERIC 
@ATTRIBUTE CVE_CALIDAD_PROYECTO NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE NIVELES_ZONA NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_PRIMARIAS NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_SECUNDARIAS NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_ESCUELAS_PREPARATORIA NUMERIC 
@ATTRIBUTE DISTANCIA_BANCOS NUMERIC 
@ATTRIBUTE DISTANCIA_LOCALES_COMERCIALES NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE DISTANCIA_SERVICIOS_SALUD_PRIMER_NIVEL_ NUMERIC 
@ATTRIBUTE DISTANCIA_SERVICIOS_SALUD_SEGUNDO_NIVEL_ NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE SUPERFICIE_TOTAL_CONSTRUCCIONES_PRIVATIVAS NUMERIC 
@ATTRIBUTE SUPERFICIE_PRIVATIVAS NUMERIC 
@ATTRIBUTE SUPERFICIE_CONSTRUIDA NUMERIC 
@ATTRIBUTE SUPERFICIE_COMUNES NUMERIC 
@ATTRIBUTE SUPERFICIE_ACCESORIA NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FUB NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE FFO NUMERIC 
@ATTRIBUTE FSU NUMERIC 
@ATTRIBUTE FOT NUMERIC 
@ATTRIBUTE IMPORTE_ENFOQUE_INGRESOS NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
03400, -99.14285, 19.4031861, 09, 014, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 336.0, 840.0, 0.9, 504.0, 0.9, 1.0, 4.0, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 5, 0.805374906948, 0.881110890011, 0.881110890011, 0.805374906948, 0.832259672167, 0.748747963665, 0.854226124792, 0.770714416291, 1.0, 0.638351489946, 0.805374906948, 0.638351489946, 0.805374906948, 0.748747963665, 0.832259672167, 0.832259672167, 1.0, 2.0, 49.02, 49.02, 49.02, 49.02, 0.0, 0.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 653715.39, 846776.05, 1050000.0 
15900, -99.0999167, 19.4200278, 09, 017, 4.0, 3.0, 3.0, 4.0, 1.0, 100.0, 100.0, 324.0, 840.0, 0.75, 516.0, 0.75, 1.0, 4.0, 1.0, 4.0, 4.0, 3.0, 6.0, 2, 2, 5, 0.819565634135, 0.748747963665, 0.872798495856, 0.819565634135, 0.872798495856, 0.748747963665, 0.903077342637, 0.805374906948, 1.0, 0.854226124792, 0.854226124792, 0.409782817068, 0.789286787355, 0.698685861983, 0.888886615449, 1.0, 1.0, 2.0, 59.2, 59.2, 59.2, 59.2, 0.0, 0.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 584091.74, 586249.94, 802000.0 
11800, -99.175702, 19.403998, 09, 016, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 0.0, 840.0, 1.0, 840.0, 1.0, 1.0, 6.0, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 7, 0.665236255164, 0.795981950144, 0.698685861983, 0.760231117859, 0.698685861983, 0.665236255164, 0.748747963665, 0.603690999289, 0.827341359574, 0.61877089603, 0.61877089603, 0.61877089603, 0.832259672167, 0.68720270779, 0.68720270779, 0.818219453341, 1.0, 2.0, 51.62, 79.99, 51.62, 51.62, 0.0, 9.68, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 797767.2, 790880.33, 1348000.0 
11400, -99.1800361, 19.4522083, 09, 016, 4.0, 4.0, 4.0, 4.0, 1.0, 100.0, 100.0, 0.0, 70.0, 1.0, 70.0, 1.0, 1.0, 6.0, 1.0, 4.0, 4.0, 3.0, 5.0, 1, 5, 1, 0.603690999289, 0.764534501305, 0.849098460404, 0.603690999289, 0.774664997354, 0.603690999289, 0.764534501305, 0.638351489946, 0.360931599223, 0.625657451914, 0.748747963665, 0.638351489946, 0.800769941548, 0.748747963665, 0.748747963665, 1.0, 1.0, 3.0, 64.89, 64.89, 64.89, 64.89, 473.0, 0.0, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 861042, 0.0, 1501000.0 
11320, -99.171161, 19.448046, 09, 016, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 120.0, 840.0, 0.87, 720.0, 0.87, 1.0, 4.0, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 3, 5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 31.61, 31.61, 31.61, 31.61, 0.0, 0.0, 1.20, 1.25, 1.00, 1.00, 1.00, 1.00, 0, 538667.49, 578000.0 
02099, -99.189575, 19.474217, 09, 002, 4.0, 4.0, 4.0, 4.0, 1.0, 100.0, 100.0, 156.0, 756.0, 0.81, 600.0, 0.81, 1.0, 4.0, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 6, 0.760231117859, 1.0, 0.736053925634, 0.760231117859, 0.736053925634, 0.736053925634, 0.780358116011, 0.736053925634, 0.760231117859, 0.705775078853, 0.721863198447, 0.705775078853, 0.736053925634, 0.780358116011, 0.760231117859, 0.736053925634, 1.0, 2.0, 64.18, 96.36, 64.18, 64.18, 0.0, 9.24, 1.20, 1.15, 1.00, 1.00, 0.84, 1.00, 885778.37, 787882.34, 1152000.0 
11230, -99.210605, 19.457011, 09, 016, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 156.0, 840.0, 0.9, 684.0, 0.9, 1.0, 5.0, 1.0, 4.0, 4.0, 3.0, 5.0, 1, 5, 7, 0.721863198447, 1.0, 0.854226124792, 0.649834644139, 0.854226124792, 0.705775078853, 0.854226124792, 0.854226124792, 0.721863198447, 0.736053925634, 0.838138005199, 0.736053925634, 0.838138005199, 0.736053925634, 0.86841685198, 0.86841685198, 0.0, 2.0, 57.54, 64.0, 57.54, 57.54, 0.0, 0.0, 1.20, 1.15, 1.00, 1.00, 0.90, 1.00, 706652.81, 873461.43, 967000.0 
11800, -99.175702, 19.403998, 09, 016, 4.0, 3.0, 4.0, 4.0, 1.0, 100.0, 100.0, 0.0, 840.0, 1.0, 840.0, 1.0, 1.0, 6.0, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 7, 0.665236255164, 0.795981950144, 0.698685861983, 0.760231117859, 0.698685861983, 0.665236255164, 0.748747963665, 0.603690999289, 0.827341359574, 0.61877089603, 0.61877089603, 0.61877089603, 0.832259672167, 0.68720270779, 0.68720270779, 0.818219453341, 1.0, 2.0, 55.52, 85.3, 55.52, 55.52, 0.0, 9.68, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 836535.16, 843517.63, 1434000.0 
03300, -99.15316, 19.36196, 09, 014, 4.0, 4.0, 4.0, 4.0, 1.0, 100.0, 100.0, 0.0, 960.0, 1.0, 960.0, 1.0, 1.0, 6.0, 1.0, 4.0, 4.0, 3.0, 6.0, 2, 1, 2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 70.11, 70.11, 70.11, 70.11, 0.0, 0.0, 1.20, 1.15, 1.00, 1.00, 0.92, 1.00, 1091563.47, 1477782.35, 2148000.0 
01330, -99.269605, 19.372962, 09, 010, 4.0, 4.0, 4.0, 4.0, 1.0, 100.0, 100.0, 0.0, 840.0, 1.0, 840.0, 1.0, 1.0, 6.0, 1.0, 4.0, 4.0, 3.0, 5.0, 2, 5, 20, 0.721863198447, 0.805374906948, 1.0, 0.832259672167, 1.0, 1.0, 0.854226124792, 0.896190786752, 0.554839781444, 0.770714416291, 0.832259672167, 0.770714416291, 0.84374282636, 0.665236255164, 0.819565634135, 1.0, 2.0, 3.0, 129.14, 129.14, 126.62, 129.14, 0.0, 0.0, 1.20, 1.15, 1.00, 1.00, 0.62, 1.00, 4212254.6, 4004910.53, 4522000.0 
