Fecha_hora_experimento,Clave_experimento,Archivo_CSV_ejemplos,CP,Tiempo_entrenamiento,N_entrenamiento,N_pruebas,EPOCHS,N_neuronas_entrada,N_capas_ocultas,N_neuronas_ocultas,N_neuronas_salida,promedio_factual,promedio_regresion,error_avg,error_min,error_max,error_dstd
"Thursday, 20. October 2016 11:10PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold1_L1_H10,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.326190948486328,123,13,250,15,1,10,1,30410.176923076921,32778.504531292529,4542.1404567225736,60.619802972083562,13725.885851809442,4772.669280553708
"Thursday, 20. October 2016 11:10PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold2_L1_H10,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.49888014793396,123,13,250,15,1,10,1,34065.040000000001,32739.569806712621,4392.5041152608037,54.23284351460461,11460.28166817093,3952.9999984012065
"Thursday, 20. October 2016 11:11PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold3_L1_H10,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.467527866363525,123,13,250,15,1,10,1,30197.231538461539,31826.414418302611,3284.3117448445255,88.477317021173803,10632.902682978827,3267.7295021349973
"Thursday, 20. October 2016 11:11PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold4_L1_H10,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.391023874282837,123,13,250,15,1,10,1,33245.144615384619,31945.541271892194,6130.5882243126443,231.25419885604788,18925.555557460211,5348.713355813374
"Thursday, 20. October 2016 11:11PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold5_L1_H10,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,14.791638851165771,123,13,250,15,1,10,1,31097.516153846154,32397.313983601933,5199.4264602770718,1550.3139836019327,12637.313983601933,3378.880172128241
"Thursday, 20. October 2016 11:11PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold6_L1_H10,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,14.436437845230103,123,13,250,15,1,10,1,30101.170000000002,32940.397369616927,5779.8089883142029,1151.8173696169251,12538.397369616927,3560.6019223374915
"Thursday, 20. October 2016 11:11PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold7_L1_H10,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,14.596557855606079,123,13,250,15,1,10,1,33679.31923076923,34430.456144522097,5022.139527344455,75.833855477903853,14506.256144522096,4073.0475700485404
"Thursday, 20. October 2016 11:12PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold8_L1_H10,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.481920003890991,123,13,250,15,1,10,1,32245.810769230768,32059.282179771821,2883.9656508218873,164.70782022818094,8599.2821797718207,2017.9467911342597
"Thursday, 20. October 2016 11:12PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold9_L1_H10,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.96616792678833,123,13,250,15,1,10,1,33157.199230769227,31614.39872428072,6503.4226020890637,767.39872428071976,12545.60127571928,3585.1722386180713
"Thursday, 20. October 2016 11:12PM",from_server_-03103-03100-03104-03200-03230-03240_N136_E250_10fold10_L1_H10,from_server_,(CAT_TIPO_INMUEBLE='4' ) AND (codigo_postal_ubicacion_inmueble='03103' OR codigo_postal_ubicacion_inmueble='03100' OR codigo_postal_ubicacion_inmueble='03104' OR codigo_postal_ubicacion_inmueble='03200' OR codigo_postal_ubicacion_inmueble='03230' OR codigo_postal_ubicacion_inmueble='03240' ) AND (CVE_USO_CONSTRUCCION='1' ) AND (CVE_CLASE_INMUEBLE='5' ) ,15.806918144226074,123,13,250,15,1,10,1,34302.463076923079,31127.276137136079,5202.9570961798618,785.56873172153792,10953.921268278464,3144.401042797281
