Fecha_hora_experimento,Clave_experimento,Archivo_CSV_ejemplos,CP,Tiempo_entrenamiento,N_entrenamiento,N_pruebas,EPOCHS,N_neuronas_entrada,N_capas_ocultas,N_neuronas_ocultas,N_neuronas_salida,promedio_IMPORTE_VALOR_CONCLUIDO,promedio_VALOR_FISICO_CONSTRUCCION,promedio_VALOR_FISICO_TERRENO,promedio_VALOR_FISICO_TERRENO_M2,promedio_regresion_IMPORTE_VALOR_CONCLUIDO,promedio_regresion_VALOR_FISICO_CONSTRUCCION,promedio_regresion_VALOR_FISICO_TERRENO,promedio_regresion_VALOR_FISICO_TERRENO_M2,error_promedio_IMPORTE_VALOR_CONCLUIDO,error_promedio_VALOR_FISICO_CONSTRUCCION,error_promedio_VALOR_FISICO_TERRENO,error_promedio_VALOR_FISICO_TERRENO_M2,error_min_IMPORTE_VALOR_CONCLUIDO,error_max_IMPORTE_VALOR_CONCLUIDO,error_min_VALOR_FISICO_CONSTRUCCION,error_max_VALOR_FISICO_CONSTRUCCION,error_min_VALOR_FISICO_TERRENO,error_max_VALOR_FISICO_TERRENO,error_min_VALOR_FISICO_TERRENO_M2,error_max_VALOR_FISICO_TERRENO_M2,desviacion_std_error_IMPORTE_VALOR_CONCLUIDO,desviacion_std_error_VALOR_FISICO_CONSTRUCCION,desviacion_std_error_VALOR_FISICO_TERRENO,desviacion_std_error_VALOR_FISICO_TERRENO_M2
"Friday, 30. September 2016 11:41PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold0_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,99.1989381313324,371,41,500,45,1,50,4,3224317.8381940704,1150514.6261994608,923130.22210242576,24214.74086253369,3318613.8066972187,1187246.9391229523,775553.91439107805,25894.339736419417,880294.25851105375,399502.33716901904,346366.50401868945,4243.0024370752044,178.87984360381961,5319409.0864338819,645.11371433897875,1978499.6662856613,2022.0499789841706,3723445.9299789844,41.776913331774267,25073.615923883619,764409.5132934588,327777.3734837896,417778.35823160334,4447.647732854616
"Friday, 30. September 2016 11:43PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold1_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,99.30860686302185,371,41,500,45,1,50,4,3219746.4861725066,1160019.318625337,917217.98805929918,24280.559460916444,2951771.9871570771,986980.66056162876,795623.75570980762,21028.020098491776,884265.10706827603,414656.49117547332,339421.30789424147,4956.9162168132189,1351.6292551467195,4416648.3707448533,3418.6660720594227,2189110.8539279411,1433.5956525926013,3697796.8143474073,32.479570716746821,24840.459570716746,744348.3203709021,351027.7845787805,414831.00648943003,4059.2853406304403
"Friday, 30. September 2016 11:44PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold2_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,106.47208881378174,371,41,500,45,1,50,4,3210408.8354986524,1144469.1744474394,919846.10676549864,24326.994420485174,2565707.7350763474,728423.82518812013,915890.37123602326,27382.149920407945,978874.88873832778,508680.15490402235,355893.78302133986,4637.398903959951,391.39327820856124,5982308.6624710718,1966.2207225809107,2410957.3967283163,42.964656577329151,3592209.5446565775,31.508275087642687,26557.948275087641,853159.9275272775,404562.6457024274,408122.4355407394,4447.578680997336
"Friday, 30. September 2016 11:46PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold3_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,110.99529099464417,371,41,500,45,1,50,4,3222498.9702695417,1150123.4795148247,929538.32703504036,24134.770431266847,3227108.929266992,1176959.4456764737,934819.60053038981,26650.573016484403,900988.96256642649,414796.98962519848,365527.33828076994,4485.4560808123588,932.63045737380162,5431927.0010324568,782.95586761273444,1980880.2958676131,790.42179065314122,3566060.9217906529,36.333004651038209,25878.293004651037,776960.3031253119,332074.96776227426,415465.3996250215,4387.855460248022
"Friday, 30. September 2016 11:48PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold4_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,110.18493008613586,371,41,500,45,1,50,4,3217902.7438544477,1147357.0911859837,920807.46684636117,24074.930997304582,3405126.6310810298,1149679.2741025807,1073086.9954424079,23489.279930346795,892047.53584877495,397002.7865024606,405769.23305721534,3999.8567623785539,10321.421203888021,5308678.578796112,163.77852516714483,2025088.6685251673,1816.8558014251757,2917286.1358014252,23.109451054700912,23016.5694510547,756457.8677464015,333626.67099095095,354079.1002738562,3892.006460043492
"Friday, 30. September 2016 11:50PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold5_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,109.31765794754028,371,41,500,45,1,50,4,3263009.7519407007,1169676.2043396228,929032.82159029646,24225.626334231805,4078623.4254947896,1532688.7170380556,1046154.7697902309,25616.591724549216,1156373.0315355151,531678.50176922744,394272.68658926844,4088.7171490911905,8025.8459104793146,4633025.8459104793,1527.9596899673343,1641899.0503100329,6160.0786350594135,3445923.7986350595,1.5091003023153462,25194.189100302316,815031.447325496,345616.392325171,368253.9758171603,4173.246690444734
"Friday, 30. September 2016 11:52PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold6_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,102.32607793807983,371,41,500,45,1,50,4,3207007.8651482482,1146621.5052291106,927761.16927223722,24192.124528301883,2783160.1948003015,988934.30831708596,865227.09783886001,24922.112813640822,933593.05403425335,414154.31142133882,355708.33957302861,4140.1851289358792,5328.9821481667459,5932328.9821481667,5.0431492974748835,2184209.1768507026,602.38215577509254,3627371.257844225,2.621522347395512,24452.121522347396,838532.9019289409,357005.92242175486,431379.51748115174,4373.558274929205
"Friday, 30. September 2016 11:54PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold7_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,125.03153610229492,371,41,500,45,1,50,4,3222159.060916442,1152523.9646091645,924651.64557951479,24207.200485175203,3249897.6175560895,1174884.8333720525,848320.68652376346,25147.924122295957,879678.89835409692,403261.14994580805,347345.15902574058,4040.4008118017732,228.09756614034995,5461771.9024338592,1981.7388379978947,1999398.7588379981,7596.0792208343046,3642487.6107791658,49.779756598185486,24738.780243401812,772082.2392766295,333127.9981433334,424105.8189729822,4091.4177634167
"Friday, 30. September 2016 11:58PM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold8_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,281.62642312049866,371,41,500,45,1,50,4,3182158.8085444747,1141565.9579514824,919230.39606468996,24244.44334231806,3434858.3295016014,1319265.9071983111,877417.30064653407,23704.323726298131,900063.21914285095,434080.38902990811,349486.14027472469,4053.3241749502745,1375.7959143621847,5247624.2040856378,2137.4743338262197,1832998.745666174,938.04632269311696,3626171.0463226931,0.58209157253077137,22817.143252297625,748036.0202245307,327604.7997266582,426461.1243280314,4209.622526214068
"Saturday, 01. October 2016 12:03AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold9_L1_H50,from_server_,-03103-03100-03104-03200-03230-03240,301.0867431163788,371,41,500,45,1,50,4,3198000.5875202157,1137173.0652021563,916147.1976280323,24483.174716981131,2844245.9022677778,965726.07281960279,1017067.0033114934,26622.28577068579,906790.31845211715,412180.40863517387,390370.02501674514,4295.3467290314502,2014.1431839102879,5871185.8568160897,3528.2163829770871,2207497.8936170232,4790.2839196220739,3475856.6639196221,31.349099744940759,26156.339099744939,797688.5415750804,347519.34032719646,380913.4338040386,4264.411011786351
"Saturday, 01. October 2016 02:23AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold0_L1_H35,from_server_,-03103-03100-03104-03200-03230-03240,121.50418090820312,371,41,500,45,1,35,4,3178031.4770080862,1137995.8075741241,916925.65064690018,24142.323126684638,2606652.6639538785,903970.58852497558,801669.98176733265,20920.815093714351,959073.59313218854,427927.33358080313,343747.33936576277,5246.4303141193341,4347.3360461215489,6112347.336046122,5.9714750244747847,2246979.4114750242,80.158232667366974,3692767.0182326674,61.274906285649195,25010.40490628565,834553.882003016,355867.17685097473,444210.0336512895,4395.551186186125
"Saturday, 01. October 2016 02:24AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold1_L1_H35,from_server_,-03103-03100-03104-03200-03230-03240,111.24081802368164,371,41,500,45,1,35,4,3238759.8867115905,1158562.1879514826,942736.930458221,24357.576846361186,3692593.9906327762,1258764.3287582891,902291.57080884138,24608.727281637268,998642.02065592329,424923.25580664811,358128.2176978612,4046.3759320705535,3732.2881063111126,5022732.2881063111,1375.9129305819515,1914355.3070694183,1659.8446833002381,3590506.7353166998,2.4438403649473912,24141.903840364947,783248.7936839992,329702.04517552216,423607.0401363782,4111.84532487083
"Saturday, 01. October 2016 02:26AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold2_L1_H35,from_server_,-03103-03100-03104-03200-03230-03240,114.87349390983582,371,41,500,45,1,35,4,3195425.1923719672,1133615.2629919138,924879.85738544469,24265.83409703504,2559996.9214328625,868979.63047381537,854790.64181907638,25088.633710518225,985506.39507784264,434988.50956853572,353517.0910053312,3972.4287015290683,4448.9555826429278,6053846.190119829,103.57568714045919,2290203.4256871408,86.704106905031949,3651653.7158930949,40.418664349821483,24233.21583299616,867569.1258977364,378857.9153806457,419955.26708622795,3883.7032127420803
"Saturday, 01. October 2016 02:28AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold3_L1_H35,from_server_,-03103-03100-03104-03200-03230-03240,100.89249610900879,371,41,500,45,1,35,4,3217333.3638005392,1151496.1963342316,926408.38795148255,24291.37708894879,3184398.1830751677,1083512.8842374915,815289.66849598661,26575.048085056682,879035.86219247722,402358.00656471011,352204.86053667124,4289.9252952998031,2414.2488806545734,5422752.8160636034,2480.3834666828625,2080815.8365333173,787.2554750922136,3695814.8581961766,8.3345927243717597,25626.794592724371,776051.5131431677,340326.4621473338,439884.89020584937,4218.498471475733
"Saturday, 01. October 2016 02:30AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold4_L1_H35,from_server_,-03103-03100-03104-03200-03230-03240,98.84602308273315,371,41,500,45,1,35,4,3205568.5120485178,1144890.5246361187,927118.56649595697,24101.65358490566,3221093.0773638864,1034275.4988787711,942538.40188742394,22637.311229578885,883525.52259297029,402398.88939622341,362046.61438890896,4301.22119911354,1082.8792707854882,5491082.8792707855,2158.4327772440156,2142384.5127772442,2679.7754453676753,3039787.6145546325,1.0207855997432489,23000.349214400259,759187.2903082903,346750.429515887,376542.33847353223,4262.178451486106
"Saturday, 01. October 2016 02:31AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold5_L1_H35,from_server_,-03103-03100-03104-03200-03230-03240,98.34742617607117,371,41,500,45,1,35,4,3214215.4123180592,1150375.485283019,918260.63951482472,24133.788490566036,3195618.797136053,921636.81435076974,1007091.5366920368,22971.873066689081,856131.73528899404,426892.15480452741,386875.93200340355,4070.6802977574612,11580.037629439496,5441419.9623705605,1050.0967677554581,2239026.3167677559,211.22702327976003,3497733.7729767202,79.165574872880825,23257.85662713178,757758.9308929781,366266.4095749119,386064.7526757461,4133.945785679462
"Saturday, 01. October 2016 02:33AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold6_L1_H35,from_server_,-03103-03100-03104-03200-03230-03240,98.6300368309021,371,41,500,45,1,35,4,3236157.0123989214,1159005.7374123989,925264.92625336919,24191.383665768193,3515447.2180191032,1181685.4012002165,1044696.6494502379,25630.027696784098,918494.53972403088,401710.55523049849,401338.1832739677,4096.8513729154438,127.71786260185763,5198872.2821373977,5088.5136343417689,1992328.5063656585,8297.634270222974,3448536.4857297773,9.7509851912254817,25202.430985191226,757828.0808772075,324798.1945963355,385611.33376123325,4297.850219238992
"Saturday, 01. October 2016 02:35AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold7_L1_H35,from_server_,-03103-03100-03104-03200-03230-03240,99.34459590911865,371,41,500,45,1,35,4,3269923.4985714285,1169324.7962533694,921165.14088948781,24366.079946091646,2906521.897282891,920203.2051983648,759304.657907455,24040.826172083129,907811.61280346592,430195.3762787357,342197.47238378867,4025.5255047338524,12521.897282890975,5812478.102717109,4741.2648016351741,2256293.0148016354,1086.1120925450232,3735132.3420925448,9.1738279168712324,23490.286172083128,816835.478500729,377887.1331195172,412174.66473197733,4061.8996084124065
"Saturday, 01. October 2016 02:36AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold8_L1_H35,from_server_,-03103-03100-03104-03200-03230-03240,98.42783117294312,371,41,500,45,1,35,4,3230160.6953369272,1158482.7347439353,917434.75309973035,24386.125498652291,2962599.6692367024,1103945.880905024,874777.26233600965,25923.856305378122,893976.52299986419,401532.71595620981,346639.47906191426,3957.092242119727,1898.3267063442618,5764101.6732936557,229.56097992393188,2074672.180979924,533.71851794433314,3617494.1185179446,2.8994206223433139,25518.100579377657,804983.6348272227,342113.76579859474,413856.0880496209,4029.0012228547707
"Saturday, 01. October 2016 02:38AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold9_L1_H35,from_server_,-03103-03100-03104-03200-03230-03240,99.01400399208069,371,41,500,45,1,35,4,3184794.9271428571,1136283.7146630727,908229.55738544476,24125.912345013479,2597638.9125964749,882374.85304764751,680947.85925785627,26432.359630644969,960376.42450443946,433905.69266491121,357526.42976628937,4356.5498072849086,4928.854553678073,4770928.8545536781,3655.8104091085261,2293755.6604091087,755.44701591320336,3812552.4470159132,10.016729810642573,25945.103270189356,810274.7273659235,372815.7021301143,433343.8040740981,4483.475045360974
"Saturday, 01. October 2016 02:40AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold0_L1_H40,from_server_,-03103-03100-03104-03200-03230-03240,99.11030197143555,371,41,500,45,1,40,4,3178031.4770080862,1137995.8075741241,916925.65064690018,24142.323126684638,3051554.5965112508,1064806.1883801743,924360.64325347147,26683.954859634043,857140.0929241007,395463.42101920623,357136.12836728909,4478.7857057474212,3664.5002354253083,5662664.5002354253,167.40247722482309,2085067.4024772248,1003.6084547671489,3566274.1084547671,4.9521104904961248,26275.167889509503,751692.0777137156,321150.957085291,416636.63892674906,4548.1107808926145
"Saturday, 01. October 2016 02:41AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold1_L1_H40,from_server_,-03103-03100-03104-03200-03230-03240,99.03372311592102,371,41,500,45,1,40,4,3238759.8867115905,1158562.1879514826,942736.930458221,24357.576846361186,3038562.9428170985,1093912.476415056,1025458.9931113471,24111.183380868828,899419.04091472621,404283.95786744758,395545.61732312769,4003.0240001954739,3778.0439589358866,5677778.0439589359,2732.9122037580237,2080454.9198889062,2926.787102391012,3467225.9871023912,18.766887469937501,23657.493112530061,793692.8442550474,344962.41671552166,394863.30212857574,4000.530484932142
"Saturday, 01. October 2016 02:43AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold2_L1_H40,from_server_,-03103-03100-03104-03200-03230-03240,99.35473394393921,371,41,500,45,1,40,4,3195425.1923719672,1133615.2629919138,924879.85738544469,24265.83409703504,2680496.0131219062,885145.26690618508,780342.2054950418,25905.843891011362,942272.75335654814,429020.96630637062,353259.57124456222,4180.2701480764217,7523.3386103888042,6034523.3386103883,56.753339429036714,2290156.603339429,510.12892740149982,3712863.6889274018,20.674120309995487,25418.785879690004,836810.6794214116,376751.8251752783,440081.5349027644,4205.443986140491
"Saturday, 01. October 2016 02:45AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold3_L1_H40,from_server_,-03103-03100-03104-03200-03230-03240,98.95700693130493,371,41,500,45,1,40,4,3217333.3638005392,1151496.1963342316,926408.38795148255,24291.37708894879,2811745.0108813667,1016588.0256234424,859441.98508835502,23155.826261869814,921086.36950355675,410968.03155657754,353874.39161421673,4047.8603246562225,443.71631848579273,5804214.9949952699,961.19130634202156,2147693.0953156566,43.394584002322517,3650040.2954159975,2.2591504008159973,23154.910849599186,830585.91733347,349850.71860533743,429469.32955530455,3986.4898188311163
"Saturday, 01. October 2016 02:46AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold4_L1_H40,from_server_,-03103-03100-03104-03200-03230-03240,98.89806485176086,371,41,500,45,1,40,4,3205568.5120485178,1144890.5246361187,927118.56649595697,24101.65358490566,2478594.7636921913,891422.35553384165,1057819.72205396,20591.53272253754,1041697.3846438556,437826.89317153575,403411.57221072452,5303.4123822928859,987.93858256144449,6239987.9385825619,134.44600712193642,2283833.2139928783,517.2005036205519,2935426.8005036209,3.7263137103909685,25285.093686289609,890682.24921864,377904.3586166693,357174.99150062783,4305.925374540769
"Saturday, 01. October 2016 02:48AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold5_L1_H40,from_server_,-03103-03100-03104-03200-03230-03240,99.69429183006287,371,41,500,45,1,40,4,3214215.4123180592,1150375.485283019,918260.63951482472,24133.788490566036,3106454.7744413442,1086680.3894033979,753008.06655920006,23444.479418752831,862230.30004208745,395222.9017158022,350674.21349533804,4231.1148043963431,545.22555865580216,5612545.2255586553,759.61059660208412,2089815.8305966023,1111.1534408000298,3741428.9334407998,28.879418752832862,22893.939418752831,765502.4107943692,336511.88878420246,444007.9381632087,4323.203558240068
"Saturday, 01. October 2016 02:50AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold6_L1_H40,from_server_,-03103-03100-03104-03200-03230-03240,99.21042895317078,371,41,500,45,1,40,4,3236157.0123989214,1159005.7374123989,925264.92625336919,24191.383665768193,3971259.7279336769,1395973.3423471593,1065249.5338237367,24423.636069344488,1110796.9184454649,465115.96106609749,410810.84945138998,4019.6490158900342,5603.4329992081039,4740603.4329992086,415.36111250519753,1778671.5811125054,9383.6504958281294,3426790.719504172,50.171497788291163,23997.878502211708,804522.6477990249,325862.89963591227,382745.7209394227,4133.454281083513
"Saturday, 01. October 2016 02:51AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold7_L1_H40,from_server_,-03103-03100-03104-03200-03230-03240,98.97820401191711,371,41,500,45,1,40,4,3269923.4985714285,1169324.7962533694,921165.14088948781,24366.079946091646,3354946.0357489213,1298783.0477949344,793562.7490737692,24011.633614069218,882470.99132532929,419661.79767546413,337446.56723721896,4029.0663810428177,3946.0357489213347,5364053.9642510787,4133.0477949343622,1877713.1722050658,570.28907376923598,3700874.250926231,4.9736140692184563,23461.093614069217,766651.9293373364,326264.6080761914,403980.73352389474,4060.831232643327
"Saturday, 01. October 2016 02:53AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold8_L1_H40,from_server_,-03103-03100-03104-03200-03230-03240,98.779296875,371,41,500,45,1,40,4,3230160.6953369272,1158482.7347439353,917434.75309973035,24386.125498652291,2347525.8893399891,730917.29862163216,707312.17716340965,25390.316423351247,1124108.0019061521,522379.72991206479,359901.3489357123,3938.6821191485274,4474.1106600109488,6371474.1106600109,2679.7013783678412,2445578.921378368,115.23716340970714,3787124.8228365905,21.316423351247067,24822.016423351248,949203.6675552478,431341.7642877034,452627.04565263115,4103.543564829561
"Saturday, 01. October 2016 02:55AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold9_L1_H40,from_server_,-03103-03100-03104-03200-03230-03240,99.00975918769836,371,41,500,45,1,40,4,3184794.9271428571,1136283.7146630727,908229.55738544476,24125.912345013479,3297763.5014259033,1235480.1850578701,974263.65997262462,25179.506996540433,861224.83927219338,409258.2268654356,365140.55331796507,4027.3506914233512,4052.2902878616005,4066947.7097121384,3605.963265534956,1937490.2567344652,284.85092255892232,3512059.4009225592,27.134021483998367,24849.405978516003,708172.9732142054,323373.56854765513,366204.15954412357,4252.81105906529
"Saturday, 01. October 2016 02:56AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold0_L1_H45,from_server_,-03103-03100-03104-03200-03230-03240,99.69220781326294,371,41,500,45,1,45,4,3178031.4770080862,1137995.8075741241,916925.65064690018,24142.323126684638,4285032.4124080222,1535738.6202560598,1355150.1281546783,23371.18010095413,1342314.6256992451,543213.0700220177,598249.19900951826,4240.7801239975579,7897.0527358688414,4428897.0527358688,3434.28335471428,1613217.8333547143,3098.5647033951245,3135525.6452966048,57.230603833831992,22925.229396166167,843811.8107195133,343396.04773080186,367957.9397146201,4281.801077916189
"Saturday, 01. October 2016 02:58AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold1_L1_H45,from_server_,-03103-03100-03104-03200-03230-03240,100.12853789329529,371,41,500,45,1,45,4,3238759.8867115905,1158562.1879514826,942736.930458221,24357.576846361186,3454143.1639837422,1230506.2602505765,1198844.0715687452,24325.749938041259,927776.52212522586,416821.96612592263,474825.38496945915,3903.630577302627,6817.8675766121596,5132817.8675766122,3886.1958667980507,1937210.0241332022,3034.4353140678722,3313631.4353140676,3.2179309399471094,23340.602069060053,763216.3322273745,331878.5679349263,381790.7464715337,3992.5547788473746
"Saturday, 01. October 2016 03:00AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold2_L1_H45,from_server_,-03103-03100-03104-03200-03230-03240,99.87243604660034,371,41,500,45,1,45,4,3195425.1923719672,1133615.2629919138,924879.85738544469,24265.83409703504,3517387.2858955245,1380486.5047488629,1044952.1860378935,25194.667133654235,914963.49027079588,462689.7395817691,404734.04445007257,4075.8597104586474,2777.142187254969,5103861.6088700462,587.7415076023899,1777668.4784923978,3370.8816276245052,3460205.0016276245,29.845347431884875,24336.025347431885,767440.9413574698,331081.0754704823,382043.4999813467,4058.79846297028
"Saturday, 01. October 2016 03:01AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold3_L1_H45,from_server_,-03103-03100-03104-03200-03230-03240,100.15177798271179,371,41,500,45,1,45,4,3217333.3638005392,1151496.1963342316,926408.38795148255,24291.37708894879,3232804.513939824,1119461.5074906177,876731.36906129285,24269.50872825168,882369.71673264029,402529.83835054288,354598.87558685406,4051.0616475451125,1569.0988124716096,5484430.9011875279,240.8497708668001,2056913.859770867,511.14316223340575,3616449.2568377666,10.14159715293863,23726.941597152938,773300.6710322971,336319.1815045565,427550.0581276891,4125.305762943654
"Saturday, 01. October 2016 03:03AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold4_L1_H45,from_server_,-03103-03100-03104-03200-03230-03240,100.72372317314148,371,41,500,45,1,45,4,3205568.5120485178,1144890.5246361187,927118.56649595697,24101.65358490566,3992004.8690861845,1287384.1438821829,1488849.6117827925,29191.113398812526,1145399.6585358609,427157.45664547832,679097.71923871117,5872.435371117127,2491.7827974711545,4662214.388677882,988.76818834291771,1867702.9881883431,1108.0146075377706,2513878.7653687755,25.848157718166476,28370.208157718167,808164.4141610672,327530.55169943534,355998.0001253552,4801.070323756673
"Saturday, 01. October 2016 03:05AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold5_L1_H45,from_server_,-03103-03100-03104-03200-03230-03240,99.54240989685059,371,41,500,45,1,45,4,3214215.4123180592,1150375.485283019,918260.63951482472,24133.788490566036,2902396.4305414953,995405.55117015017,889848.02695131185,23112.005033437981,886323.97659023688,407542.19941464736,350186.85655019211,4304.5341360808361,1021.6743943179026,5814978.3256056821,686.51760724803898,2181013.7023927523,192.50351383094676,3603406.8264861689,41.4173810019347,22812.637381001936,792710.9188551968,351148.2019575488,412803.726445756,4314.660189244553
"Saturday, 01. October 2016 03:06AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold6_L1_H45,from_server_,-03103-03100-03104-03200-03230-03240,99.36813688278198,371,41,500,45,1,45,4,3236157.0123989214,1159005.7374123989,925264.92625336919,24191.383665768193,3074274.1460312246,1109026.4002438816,765889.9582495644,25580.399781496624,875527.55964366219,396025.49049317918,350913.44813393633,4095.6867114588867,3553.1004912806675,5645446.8995087193,4774.471331349574,2067498.2613313498,1800.208329669782,3724925.6516703302,4.1001122539819335,25196.780112253982,771742.6541832759,333917.47770395933,443256.8816176997,4292.072190173549
"Saturday, 01. October 2016 03:08AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold7_L1_H45,from_server_,-03103-03100-03104-03200-03230-03240,99.76112198829651,371,41,500,45,1,45,4,3269923.4985714285,1169324.7962533694,921165.14088948781,24366.079946091646,3547659.9201549725,1161363.3973209187,1121471.803378222,25733.796876603257,917148.72944280005,392691.17660166539,421198.89322617877,4051.8098090222579,8309.7476005018689,5105575.1824115636,2203.3831888202112,1998828.1368340277,2035.5105373223778,3385337.6505373223,14.036991518471041,24774.523008481527,770332.4009325617,332883.9201039274,349881.0769861128,4142.5190467531775
"Saturday, 01. October 2016 03:10AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold8_L1_H45,from_server_,-03103-03100-03104-03200-03230-03240,99.74711084365845,371,41,500,45,1,45,4,3230160.6953369272,1158482.7347439353,917434.75309973035,24386.125498652291,2632743.023230297,889433.0026957338,609108.79699539475,22892.038986552863,983649.22986022139,444616.60254202894,393123.25576917478,4097.6454145474372,4432.2717517698184,6082232.2717517698,1873.8116389409406,2285841.4716389412,5270.3951620694716,3884110.6048379308,14.810266634085565,22975.170266634086,876613.9061714815,387588.54306571506,479754.49760879367,3906.3509837707415
"Saturday, 01. October 2016 03:11AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold9_L1_H45,from_server_,-03103-03100-03104-03200-03230-03240,99.83306384086609,371,41,500,45,1,45,4,3184794.9271428571,1136283.7146630727,908229.55738544476,24125.912345013479,3913867.0395348389,1496403.2386044334,1247811.1025124534,24896.184290864305,1083053.982134369,523719.52812498895,503561.88281819696,4138.8998500349453,867.03953483840451,3457132.9604651616,1936.6813955665566,1680092.9813955668,4049.297487546457,3246625.8974875463,39.464290864303621,24345.644290864304,771356.0575765355,343883.9012274541,355000.98200422287,4322.416151622759
"Saturday, 01. October 2016 03:13AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold0_L1_H55,from_server_,-03103-03100-03104-03200-03230-03240,101.70567297935486,371,41,500,45,1,55,4,3178031.4770080862,1137995.8075741241,916925.65064690018,24142.323126684638,2977484.1609979291,1071356.968467932,847129.09596838558,22911.218181657463,863014.00986841961,395153.3540462557,343342.01328534295,4318.6243921545511,3870.2812545401976,5735438.3318319954,5.8487623473629355,2076306.2987623473,6498.7105253838236,3643584.9794746162,0.21961606482000207,22931.000383935181,760851.9545294564,319924.2263772349,433708.6989873148,4214.099620741856
"Saturday, 01. October 2016 03:15AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold1_L1_H55,from_server_,-03103-03100-03104-03200-03230-03240,101.20690393447876,371,41,500,45,1,55,4,3238759.8867115905,1158562.1879514826,942736.930458221,24357.576846361186,3175423.575684431,998934.31137017079,766913.09814846772,26224.879434576218,893099.41324842605,418208.99064314744,358445.13003995048,4169.6284415362634,3716.4892829954624,5543283.5107170045,51.747818694915622,2176433.4978186954,270.75354664423503,3728807.753546644,29.99043488089228,25719.859565119106,776735.6392321057,360425.8602705322,455083.25719987287,4260.854789430912
"Saturday, 01. October 2016 03:16AM",from_server_-03103-03100-03104-03200-03230-03240_N412_E500_10fold2_L1_H55,from_server_,-03103-03100-03104-03200-03230-03240,100.53711104393005,371,41,500,45,1,55,4,3195425.1923719672,1133615.2629919138,924879.85738544469,24265.83409703504,3494178.2070551766,1268941.4413497488,866720.22523403307,24532.897973998228,911838.87346904795,417782.85293742188,355299.02499837446,4017.4200572472459,3321.7936982028186,5152210.173144768,2133.9023106801324,1884446.02768932,4021.6474553594599,3640289.0451658643,42.607563733043207,23633.652436266955,765022.1576545618,326062.0668564719,417568.5257562097,4083.8186074115424
