NOMBRE_CLUSTER, NUM_AVALUOS, NUM_ATT, NUM_ATT_FILT, PROMEDIO_IMP_CONCLUIDO, DSVEST_IMP_CONCLUIDO, DSVEST_LAT, DSVEST_LONG, LR_ERROR_ABS_PROM, MSV_ERROR_ABS_PROM, RNA_ERROR_ABS_PROM, LR_ERROR_ABS_PROM_FILT, MSV_ERROR_ABS_PROM_FILT, RNA_ERROR_ABS_PROM_FILT, LR_ERROR_REL_ABS, MSV_ERROR_REL_ABS, RNA_ERROR_REL_ABS, LR_ERROR_REL_ABS_FILT, MSV_ERROR_REL_ABS_FILT, RNA_ERROR_REL_ABS_FILT, MEJOR_ATT_FILT, MEJOR_ALG
avaluosinmuebles_departamentos_nivel_residencial_entidad_cdmx_1_de_9, 28, 29, 15, 11581047, 9845332, 634, 1145, 6070848, 2875692, 2550251, 3498058, 2934248, 2783459, 88, 42, 37, 51, 42, 40, SI, REDES_NEURONALES
avaluosinmuebles_departamentos_nivel_residencial_entidad_cdmx_6_de_9, 10, 29, 20, 10107000, 3574145, 857, 983, 1034175, 1342431, 1956125, 1192193, 1295449, 1687826, 34, 44, 64, 39, 42, 55, SI, REG_LIN
avaluosinmuebles_departamentos_nivel_residencial_entidad_cdmx_7_de_9, 62, 29, 13, 6819596, 4825773, 617, 956, 1204974, 978693, 1418946, 849882, 851002, 1691860, 33, 27, 40, 23, 23, 47, SI, REG_LIN_FILT
avaluosinmuebles_departamentos_nivel_residencial_entidad_cdmx_8_de_9, 31, 29, 8, 6586774, 8456689, 375, 364, 2179844, 1574025, 1623079, 2009907, 938064, 1176483, 44, 32, 33, 40, 19, 23, SI, MAQ_SOP_VECT_FILT
