SUPERFICIE_TERRENO,SUPERFICIE_PRIVATIVAS,NUMERO_RECAMARAS,NUMERO_RECAMARAS,NUMERO_BANIOS,NUMERO_MEDIOS_BANOS,NUMERO_ESTACIONAMIENTOS,CVE_CLASE_INMUEBLE,CVE_ESTADO_CONSERVACION,ELEVADOR,INDICE_SATURACION_ZONA,CVE_DENSIDAD_HABITACIONAL,DENSIDAD_HABITACIONAL_VIVIENDAS,CVE_NIVEL_SOCIO_ECONOMICO_ZONA,NIVEL_INFRAESTRUCTURA,CVE_NIVEL_INFRAESTR_URBANA,CVE_NIVEL_EQUIPAMIENTO_URBANO,DISTANCIA_IGLESIA,DISTANCIA_BANCOS,DISTANCIA_CANCHAS_DEPORTIVAS,DISTANCIA_CENTRO_DEPORTIVO,DISTANCIA_PLAZASPUBLICAS,DISTANCIA_PARQUES,DISTANCIA_JARDINES,DISTANCIA_MERCADOS,DISTANCIA_SUPERMERCADOS,DISTANCIA_LOCALES_COMERCIALES,DISTANCIA_SERVICIOS_SALUD_PRIMER_NIVEL_,DISTANCIA_SERVICIOS_SALUD_SEGUNDO_NIVEL_,DISTANCIA_SERVICIOS_SALUD_TERCER_NIVEL_,DISTANCIA_ESCUELAS_PRIMARIAS,DISTANCIA_ESCUELAS_SECUNDARIAS,DISTANCIA_ESCUELAS_PREPARATORIA,DISTANCIA_UNIVERSIDAD,LONGITUD,LATITUD,codigo_postal_ubicacion_inmueble,CAT_REGIMEN_PROPIEDAD,CAT_TIPO_INMUEBLE,id2,IM_VENTAS_VALOR_UNITARIO_APLICABLE_AVALUO_M2,IM_VENTAS_VALOR_MERCADO_INMUEBLE
999.99,89.76,3,3,2,0,1,4,6,0,60,5,4,6,100,4,4,2000,2000,1300,1300,1400,800,0,2000,2000,600,300,1100,1100,900,700,1000,900,-87.0929028,20.6515917,77723,4,4,27724,9081,815137.8
79.1,44.1,2,2,1,0,1,3,6,2,70,3,40,3,100.00,3,3,2000,0,2000,0,2000,2000,2000,2000,0,2000,2000,2000,0,2000,2000,0,0,87.1134090,20.6766400,77723,2,3,23539,9287.35,410000
2447.89,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1219369,20.6748393,77723,2,4,32797,7850.00,343123.50
2447.89,40.41,1,1,1,0,0,3,6,0,60,4,133,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1216692,20.6752248,77723,2,4,34292,8120.00,328129.20
79.1,44.1,2,2,1,0,1,3,6,2,70,3,40,3,100.00,3,3,2000,0,2000,0,2000,2000,2000,2000,0,2000,2000,2000,0,2000,2000,0,0,87.1131741,20.6769930,77723,2,3,30750,9287.35,410000
2040.73,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1217961,20.6757113,77723,2,4,31035,7850.00,343123.50
2447.89,40.41,1,1,1,0,0,3,6,0,60,4,133,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1221399,20.6747987,77723,2,4,33187,8120.00,328129.20
2244.31,40.41,1,1,1,0,0,3,6,0,60,4,133,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1222754,20.6748514,77723,2,4,32110,8160.00,329745.60
2447.89,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1219744,20.6750882,77723,2,4,33322,7850.00,343123.50
2447.89,40.41,1,1,1,0,0,3,6,0,60,4,133,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1218477,20.6749678,77723,2,4,33039,8120.00,328129.20
2244.31,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1221515,20.6754457,77723,2,4,33749,7850.00,343123.50
2855.05,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1221014,20.6744312,77723,2,4,35970,7850.00,343123.50
999.99,89.91,3,3,2,0,1,4,6,0,60,5,4,6,100,4,4,2000,2000,1300,1300,1400,800,0,2000,2000,600,300,1100,1100,900,700,1000,900,-87.0927889,20.6516501,77723,4,4,40868,9274,833843.89
46.81,46.84,2,2,1,0,1,3,4,2,100,2,60,3,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,87.1071240,20.6614800,77723,2,4,19351,8516.77,398882.92
46.81,46.84,2,2,1,0,1,3,4,2,100,2,60,3,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,87.1066280,20.6021910,77723,2,4,19612,8787.13,411545.23
2040.73,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1221139,20.6761214,77723,2,4,67817,8010.00,350117.10
46.81,46.84,2,2,1,0,1,3,4,2,100,2,60,3,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,87.1068040,20.6619290,77723,2,4,50404,8787.13,411545.23
46.81,46.84,2,2,1,0,1,3,4,2,100,2,60,3,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,87.1066840,20.6621090,77723,2,4,49566,8516.77,398882.92
48.98,36.58,1,1,1,0,1,3,6,2,90,3,80,0,100.00,3,3,2000,0,0,2000,2000,2000,2000,0,2000,0,0,2000,0,2000,2000,0,0,87.1221466,20.6758613,77723,2,3,59170,9109.51,333225.88
5307.87,40.41,1,1,1,0,0,3,6,0,60,4,133,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1232057,20.6753861,77723,2,4,62335,8120.00,328129.20
2246.78,43.71,1,1,1,0,0,3,6,0,60,4,122,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1234463,20.6748411,77723,2,4,62392,7850.00,343123.50
51.45,49.3,2,2,1,0,1,3,6,0,70,5,0,3,100.00,3,4,2000,1300,200,0,0,100,100,1300,0,500,1500,1500,1500,750,750,1600,1800,-87.0959965,20.6614669,77723,3,3,25891,10101.83,498020.22
4081.46,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1221519,20.6757675,77723,2,4,32667,7900.00,345309.00
2244.31,40.41,1,1,1,0,0,3,6,0,60,4,133,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1221118,20.6751678,77723,2,4,32986,8120.00,328129.20
869.31,43.71,1,1,1,0,0,3,6,0,60,4,115,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1216618,20.6744191,77723,2,4,32985,7900.00,345309.00
2043.20,40.41,1,1,1,0,0,3,6,0,60,4,133,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1227371,20.6744181,77723,2,4,33429,8120.00,328129.20
