NOMBRE_CLUSTER, NUM_AVALUOS, NUM_ATT, NUM_ATT_FILT, PROMEDIO_IMP_CONCLUIDO, DSVEST_IMP_CONCLUIDO, DSVEST_LAT, DSVEST_LONG, LR_ERROR_ABS_PROM, MSV_ERROR_ABS_PROM, RNA_ERROR_ABS_PROM, LR_ERROR_ABS_PROM_FILT, MSV_ERROR_ABS_PROM_FILT, RNA_ERROR_ABS_PROM_FILT, LR_ERROR_REL_ABS, MSV_ERROR_REL_ABS, RNA_ERROR_REL_ABS, LR_ERROR_REL_ABS_FILT, MSV_ERROR_REL_ABS_FILT, RNA_ERROR_REL_ABS_FILT, MEJOR_ATT_FILT, MEJOR_ALG
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_52_de_72, 18, 29, 14, 2577154, 1321659, 904, 631, 847347, 851812, 767618, 1017900, 889754, 851916, 86, 86, 78, 103, 90, 86, NO, REDES_NEURONALES
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_53_de_72, 6, 29, 10, 1979666, 777218, 690, 597, 1232890, 1123575, 971637, 749362, 470476, 458245, 168, 153, 132, 102, 64, 62, SI, REDES_NEURONALES_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_54_de_72, 20, 29, 13, 2631508, 761922, 806, 833, 531233, 453675, 421448, 355480, 341570, 455321, 86, 73, 68, 57, 55, 73, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_55_de_72, 28, 29, 13, 2815792, 1041644, 560, 680, 1035585, 786326, 693948, 722669, 476625, 882123, 139, 106, 93, 97, 64, 118, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_56_de_72, 8, 29, 11, 3250750, 1522181, 737, 879, 473611, 594113, 547093, 1224231, 271094, 237854, 33, 42, 38, 87, 19, 16, NO, REDES_NEURONALES_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_59_de_72, 21, 29, 9, 4461822, 1751767, 972, 490, 1446209, 601164, 781045, 476560, 744240, 525829, 94, 39, 50, 31, 48, 34, SI, REG_LIN_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_60_de_72, 21, 29, 14, 1801966, 684554, 662, 523, 566381, 222389, 342529, 503105, 221045, 288654, 94, 36, 56, 83, 36, 47, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_62_de_72, 16, 29, 15, 3250250, 695681, 659, 472, 640540, 486247, 449585, 644512, 341921, 685434, 116, 88, 81, 117, 62, 124, NO, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_63_de_72, 11, 29, 17, 3054727, 872772, 547, 751, 588694, 501501, 541828, 726885, 706683, 640882, 75, 64, 69, 93, 90, 82, NO, MAQ_SOP_VECT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_64_de_72, 12, 29, 12, 3531500, 895810, 711, 549, 610542, 541781, 545451, 736573, 537725, 594490, 75, 66, 67, 90, 66, 73, NO, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_65_de_72, 9, 29, 15, 1911222, 859109, 234, 521, 647189, 783703, 836345, 477184, 438892, 470708, 96, 116, 124, 71, 65, 70, SI, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_66_de_72, 15, 29, 19, 2297266, 697657, 267, 576, 254412, 328347, 294674, 683703, 412014, 343126, 41, 53, 47, 110, 66, 55, NO, REG_LIN
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_67_de_72, 10, 29, 18, 2039600, 644688, 690, 788, 420861, 253537, 279218, 289418, 348311, 373113, 89, 54, 59, 61, 74, 79, NO, MAQ_SOP_VECT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_69_de_72, 13, 29, 15, 2362076, 818053, 816, 966, 352938, 299159, 317296, 712995, 265389, 303716, 49, 41, 44, 99, 36, 42, NO, MAQ_SOP_VECT_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_70_de_72, 17, 29, 16, 3014882, 845210, 711, 589, 817445, 1322667, 1157621, 709674, 803980, 768212, 108, 175, 153, 94, 106, 102, SI, REG_LIN_FILT
avaluosinmuebles_casas_nivel_medio_entidad_cdmx_72_de_72, 10, 29, 11, 2180100, 1054314, 660, 834, 562276, 651754, 734774, 733619, 467987, 301075, 57, 67, 75, 75, 48, 30, SI, REDES_NEURONALES_FILT
