Fecha_experimento,Clave_experimento,Archivo_CSV_ejemplos,CP,Tiempo_entrenamiento,N_entrenamiento,N_pruebas,EPOCHS,N_neuronas_entrada,N_capas_ocultas,N_neuronas_ocultas,N_neuronas_salida,Promedio_costo_total,Error_promedio_costo_total,Promedio_costo_m2,Error_promedio_costo_m2,Error_min_costo_total,Error_max_costo_total,Error_varianza_costo_total,Error_desviacion_std_costo_total,Error_min_costo_m2,Error_max_costo_m2,Error_varianza_costo_m2,Error_desviacion_std_costo_m2
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold0_L1_H25,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,19.0015230178833,72,8,500,35,1,25,2,3188878.8987500002,965836.5154042138,29237.732083333332,4246.4122061235394,7025.9561426523142,4811863.6172411442,989371066324.32312,994671.33583125,82.073812951268337,10556.285075310396,8267660.5614917744,2875.353988901501
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold1_L1_H25,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,17.349483013153076,72,8,500,35,1,25,2,3131633.4026388889,918491.32565999508,29064.086666666666,3976.8197299340673,26346.133215842769,4508638.0438070223,890610575678.54004,943721.6621856998,117.06540811430023,15486.833064717719,8005473.2458745502,2829.394501633618
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold2_L1_H25,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,17.41030502319336,72,8,500,35,1,25,2,3192310.7302777781,1011964.9874415619,28933.820416666669,3739.5206479751278,15004.488373219967,4724569.2993101059,1021514754147.1102,1010700.1306753206,130.36658822810205,10650.676244978164,7690488.9425601475,2773.1730819694876
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold3_L1_H25,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,18.481950044631958,72,8,500,35,1,25,2,3156379.3809722224,948564.9672290145,29175.294444444447,4127.5085377266059,150.05080478359014,4811174.8833481614,929010371972.75317,963851.8412975892,5.2322226482065162,12646.952859240677,11626940.611755831,3409.829997486067
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold4_L1_H25,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,18.840914011001587,72,8,500,35,1,25,2,3161577.8118055556,893637.68893682072,29441.04791666667,3957.9426817201124,25139.952841748018,4009116.4999865508,597752019490.27441,773144.24235732,142.53462865794791,11907.537097678241,8480978.9432214145,2912.212036102697
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold5_L1_H25,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,19.86197805404663,72,8,500,35,1,25,2,3252447.0838888888,978211.81358343503,29175.348055555558,3665.0137342439839,33125.050995031837,4249107.673859532,840802414685.703,916952.7875990688,11.762116989684728,12908.581136786965,7204070.3947206335,2684.039939106837
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold6_L1_H25,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,19.799499988555908,72,8,500,35,1,25,2,3199458.7877777778,891737.96877500834,29606.940833333338,3593.8057562743047,1936.5331382658333,4295518.3831382655,761132225816.36731,872428.9230741764,58.33962010621326,14331.959429713925,10280254.69815404,3206.283627216101
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold7_L1_H25,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,19.945013999938965,72,8,500,35,1,25,2,3228891.3181944443,1005693.8000557309,29476.436944444446,3854.8681410303761,26774.093576763757,3898413.9064232362,750763916217.16357,866466.3387675043,2.5496363831043709,11761.375041639336,9131824.5783780832,3021.890894519205
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold8_L1_H25,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,17.913886785507202,72,8,500,35,1,25,2,3097800.2308333335,997335.9849801159,29619.943888888887,3591.696253758475,3121.7253281841986,4664259.5853281841,862879805256.95276,928913.2388210176,206.67050151929652,12205.901814738307,9107885.8523949664,3017.927410060581
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold9_L1_H25,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,17.628221035003662,72,8,500,35,1,25,2,3195317.5198611114,985996.72917926661,29205.686250000002,3659.5361064712351,22952.829514558427,3740976.0796186524,624280514212.30933,790114.2412412963,14.645847896248597,11113.880116572574,7947469.2485847007,2819.1256177376526
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold0_L1_H26,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,17.312998056411743,72,8,500,35,1,26,2,3188878.8987500002,1031118.3843699669,29237.732083333332,3746.2814112222954,14651.270750215743,3575066.0918193944,710783483835.04114,843079.761253371,43.811373719247058,11841.18195691473,8721541.9169511516,2953.225679989789
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold1_L1_H26,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,17.27468705177307,72,8,500,35,1,26,2,3131633.4026388889,913816.17575812293,29064.086666666666,3923.6808879380883,10344.591005694587,4444903.5741643496,973430262272.86328,986625.6951209325,197.71174133899331,18624.363247805719,10782281.420203798,3283.6384423690433
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold2_L1_H26,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,20.172383069992065,72,8,500,35,1,26,2,3192310.7302777781,1173779.392417212,28933.820416666669,4011.8589555586805,88812.041910720989,3609724.4102983242,689513459619.5155,830369.4717530959,84.296251468189439,11843.371752373441,7521377.6903168708,2742.513024639422
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold3_L1_H26,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,19.553138971328735,72,8,500,35,1,26,2,3156379.3809722224,980418.75967901619,29175.294444444447,3950.0822406459579,17540.281296499074,4494259.0237304792,962824306194.09814,981236.1113381927,3.5831598786789982,11649.67205337566,9718994.519037053,3117.5301953689323
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold4_L1_H26,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,18.431129932403564,72,8,500,35,1,26,2,3161577.8118055556,886257.69090704585,29441.04791666667,3437.1353887655396,16570.4539187029,3898440.4781579045,569792074281.18372,754845.7287957479,163.7893486512221,10617.169512148521,6958736.5631984733,2637.9417285449035
